S1,S2,Distancia_Dinamico,Tiempo_Dinamico,Distancia_Bruteforce,Tiempo_Bruteforce
vm,mv,1,8381,1,1
min,imn,1,3,1,2
tknl,ktnl,1,3,1,9
nwxzz,nwxzz,0,5,0,41
vktqaq,vktqqa,1,6,1,214
xnixnbj,xninxbj,1,6,1,1159
qkusqpjn,quksqpjn,1,6,1,7186
zvaodwebw,zvaodwbew,1,10,1,38852
zdiqhzhnsh,zdihqzhnsh,1,10,1,194052
ksnvwygqsmd,ksvnwygqsmd,1,34,1,1096739
ttuyupxkdsnw,ttuyupkxdsnw,1,17,1,5957087
jjgbxfexpsdgf,jjgbxefxpsdgf,1,14,1,32122589
tkunplwpmdcswx,tkunplwpdmcswx,1,13,1,172180095
cdrojalvddybowp,cdroajlvddybowp,1,16,1,978352583
