S1,S2,Distancia_Dinamico,Tiempo_Dinamico,Distancia_Bruteforce,Tiempo_Bruteforce
ys,yys,1,5488,1,1
piw,ppiww,2,3,2,6
qvwg,qvvwwgg,3,4,3,51
gqcut,gqqccuttt,4,5,4,503
tijwws,tiiiiijwwss,5,1594,5,5304
ozqhvum,ooozzzzqhvvum,6,7,6,54225
dhjjxlyy,ddddhhjjxllyyyy,7,10,7,600437
szqxzpftw,szzzqqxxzzpfftwww,8,34,8,5910721
ikjypidlov,iikjyyyppppiidlllov,9,11,9,56868517
scfzpebawdk,ssscccffzzpeebawdkkkk,10,16,10,595811306
